Palabra Original,Traducción
operadores fraccionarios,fractional operators
inversiones de los padres,parental investments
fiscalidad,taxation
derecho internacional,international right
derecho europeo,European law
derecho ambiental,environmental law
aleaciones,alloys
microfluidics,microfluidics
polirotaxanos,polyrotaxanes
procesos industriales,industrial processes
fractura y fatiga,fracture and fatigue
aleaciones alta entropía,high entropy alloys
trastornos del neurodesarrollo,neurodevelopmental disorders
funciones ejecutivas,executive functions
videojuegos,video game
data science,data science
flexibilidad cognitiva,cognitive flexibility
atención sostenida,sustained attention
memoria de,memory of
impacto económico y social universidades madrileñas,economic and social impact Madrid universities
barreras de movilidad,mobility barriers
material compuesto,composite material
modelización,modeling
imagen por rayos x,x-ray image
electrolitos,electrolytes
engineering of digitalisation solutions,engineering of digitalisation solutions
estado de derecho,rule of law
hardware-software,hardware-software
lenguaje r.,language r.
análisis de datos,analysis of data
instrumentación avanzada,advanced instrumentation
modelos: hidrodinámicos,models: hydrodynamic
investigacion operativa,operative investigation
teoria de juegos,games theory
estadistica,statistics
políticas markovianas óptimas,optimal markovian policies
grabado,Recorded
economía real,real economy
macroeconomía dinámica,dynamic macroeconomics
sistema eléctrico,electric system
i+d+i,i+d+i
cartel precios,price poster
métricas,metrics
de género,of genre
computación afectiva,affective computing
detección de emociones,emotion detection
procesado multimodal,multimodal processing
detección robusta,robust detection
gestión energía,energy management
identificación de fisuras,crack identification
eco-efficient trajectories,eco-efficient trajectories
ppu,ppu
operadoresno locales,non-local operators
diodos,diodes
filtraciones ampliadas.,expanded leaks.
desvanecimiento,fading
eproms,eproms
auto-organización,self-organization
fluid dynamics,fluid dynamics
cuantificación de incertidumbre,uncertainty quantification
legislative bargaining,legislative bargaining
dynamic bargaining games,dynamic bargaining games
electoral competition,electoral competition
biomasa,biomass
medidas de internet,internet measurements
rpa,rpa
toma de decisiones,decision making
neuroimagen,neuroimaging
redes-inteligentes,intelligent networks
vehicle dynamics,vehicle dynamics
vehicle safety,vehicle safety
driving automation system,driving automation system
path-tracking,path-tracking
networked control system,networked control system
fault-tolerant control,fault-tolerant control
fault detection,fault detection
deterioros,deteriorations
aeroacústica,aeroacoustics
asignación de colegios,school assignment
tax procedures,tax procedures
república,republic
cine español,Spanish cinema
multi-agent systems,multi-agent systems
collective decision making,collective decision making
telemática,telematics
lithium and sodium batteries,lithium and sodium batteries
thick electrodes,thick electrodes
polymer and hybrid electrolytes,polymer and hybrid electrolytes
powder injection/extrusion moulding,powder injection/extrusion moulding
3d printing,3d printing
tv white spaces.,tv white spaces.
segregation,segregation
female occupations,female occupations
male occupations,male occupations
devaluation of female labor,devaluation of female labor
discrimination,discrimination
seguro de invalidez,disability insurance
secado,drying
problemas espectrales,spectral problems
linealizaciones,linearizations
protocolos de red,network protocols
airframe,airframe
comunidad de madrid,Madrid's community
uav,uav
condena,condemn
ietf,ietf
normatividad,normativity
industrias audiovisuales,audiovisual industries
vulnerabilidad social,social vulnerability
bayesiano,bayesiano
sdn,sdn
smart grids,smart grids
batch,batch
vida a,life to
multiunión,multiunion
concentración fotovoltaica,photovoltaic concentration
inversión,investment
dispositivos láser multiplano,multiplane laser devices
big data revolution in history,big data revolution in history
fairness,fairness
retroalimentación,feedback
métodos secuenciales de monte carlo,sequential monte carlo methods
hydrogen,hydrogen
desarrollo de aleaciones,alloy development
tributos locales,local taxes
estrellas de neutrones,neutron stars
fmea/fmeca (failure modes effects,fmea/fmeca (failure modes effects
assistive ict,assistive ict
jem-euso,jem-euso
redes sociales,social networks
patrimonio,patrimony
calidad software,software quality
alo airline operations,alo airline operations
propiedad insdustrial,industrial property
organizaciones,organizations
heterogeneous integration,heterogeneous integration
sistemas de partidos,party systems
explosión,burst
3d cnns,3d cnns
parques arqueológicos,archaeological parks
documental,documentary film
física estadística,statistical physics
soft normally open points,soft normally open points
polvo marciano,martian dust
autogobierno regional,regional self-government
imágenes de microondas,microwave images
cobertura,roof
data augmentation,data augmentation
islam,islam
ingeniería del software,software engineering
robots rehabilitación,rehabilitation robots
codificación de video,video encoding
descargas parciales,partial downloads
mechanical anisotropy,mechanical anisotropy
participación laboral,labor participation
informe técnico,technical report
discussion apps,discussion apps
advertising,advertising
ideologías políticas,political ideologies
desarrollo a largo plazo,long term development
combustión limpia,clean combustion
requirements,requirements
4d path plannig,4d path plannig
meteorological data,meteorological data
circulación,circulation
invariancia-escala,scale-invariance
política antigua,ancient politics
human capital,human capital
control de convertidores,converter control
innovación en recursos humanos,innovation in human resources
sustainability auditability,sustainability auditability
self piercing riveting,self piercing riveting
plataformas de pruebas,testing platforms
gestión de conocimiento,knowledge management
sistemas cognitivos,cognitive systems
availability,availability
maintainability and,maintainability and
implantables,implantable
delincuencia empresarial,business crime
tic,tic
calderas,boilers
religión,religion
model based systems engineering,model based systems engineering
electro-sprays,electro-sprays
policía,police
microfluídica,microfluidics
gasificación,gasification
multi-dominio,multi-domain
carbon nanotubes,carbon nanotubes
evaluación de predicciones,prediction evaluation
sistemas de asistencia a la conducción y sistemas inteligentes de transporte,driving assistance systems and intelligent transportation systems
